ingredient_id,name,normalized_name,source,source_url
ingredient:amikacin,Amikacin,amikacin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/amikacin
ingredient:amiodaron,Amiodaron,amiodaron,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/amiodaron
ingredient:amisulpride,Amisulpride,amisulpride,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/amisulpride
ingredient:amitriptylin,Amitriptylin,amitriptylin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/amitriptylin
ingredient:amlodipin,Amlodipin,amlodipin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/amlodipin
ingredient:amoxicillin,Amoxicillin,amoxicillin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/amoxicillin
ingredient:ampicillin,Ampicillin,ampicillin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/ampicilin
ingredient:anastrozol,Anastrozol,anastrozol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/anastrozol
ingredient:arginine,Arginine,arginine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/arginine
ingredient:argyrol,Argyrol,argyrol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/argyrol
ingredient:aspartame,Aspartame,aspartame,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/aspartame
ingredient:aspirin_acid_acetylsalicylic,Aspirin (Acid Acetylsalicylic),aspirin_acid_acetylsalicylic,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/aspirin
ingredient:atenolol,Atenolol,atenolol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/atenolol
ingredient:atorvastatin,Atorvastatin,atorvastatin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/atorvastatin
ingredient:atropin,Atropin,atropin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/atropin
ingredient:atapulgit,Atapulgit,atapulgit,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/atapulgit
ingredient:azapentacene,Azapentacene,azapentacene,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/azapentacene
ingredient:azathioprin,Azathioprin,azathioprin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/azathioprin
ingredient:azithromycin,Azithromycin,azithromycin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/azithromycin
ingredient:bacillus,Bacillus,bacillus,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bacillus
ingredient:baclofen,Baclofen,baclofen,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/baclofen
ingredient:bambuterol,Bambuterol,bambuterol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bambuterol
ingredient:basiliximab,Basiliximab,basiliximab,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/basiliximab
ingredient:benfotiamine,Benfotiamine,benfotiamine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/benfotiamine
ingredient:benzalkonium_chloride,Benzalkonium Chloride,benzalkonium_chloride,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/benzalkonium
ingredient:benzathin_penicillin_g,Benzathin Penicillin G,benzathin_penicillin_g,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/benzathin-benzylpenicillin
ingredient:benzoyl_peroxide,Benzoyl Peroxide,benzoyl_peroxide,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/benzoyl-peroxide
ingredient:benzylpenicilin_penicilin_g_benzylpenicillin,"Benzylpenicilin (penicilin G, Benzylpenicillin)",benzylpenicilin_penicilin_g_benzylpenicillin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/benzylpenicillin
ingredient:benzylthiouracil,Benzylthiouracil,benzylthiouracil,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/benzylthiouracil
ingredient:berberin,Berberin,berberin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/berberin
ingredient:besifloxacin,Besifloxacin,besifloxacin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/besifloxacin
ingredient:beta_glucan,Beta Glucan,beta_glucan,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/beta-glucan
ingredient:betahistine,Betahistine,betahistine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/betahistine
ingredient:betaine,Betaine,betaine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/betain
ingredient:betamethason,Betamethason,betamethason,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/betamethason
ingredient:betaxolol,Betaxolol,betaxolol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/betaxolol
ingredient:bevacizumab,Bevacizumab,bevacizumab,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bevacizumab
ingredient:bezafibrat,Bezafibrat,bezafibrat,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bezafibrat
ingredient:bilastine,Bilastine,bilastine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bilastine
ingredient:biotin_vitamin_h_vitamin_b7_vitamin_b8,"Biotin (Vitamin H, Vitamin B7, Vitamin B8)",biotin_vitamin_h_vitamin_b7_vitamin_b8,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/biotin
ingredient:bisacodyl,Bisacodyl,bisacodyl,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bisacodyl
ingredient:bismuth,Bismuth,bismuth,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bismuth
ingredient:bisoprolol,Bisoprolol,bisoprolol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bisoprolol
ingredient:bosentan,Bosentan,bosentan,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bosentan
ingredient:brimonidine,Brimonidine,brimonidine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/brimonidin
ingredient:bromelain,Bromelain,bromelain,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bromelain
ingredient:bromfenac,Bromfenac,bromfenac,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bromfenac
ingredient:bromhexin_hydroclorid,Bromhexin hydroclorid,bromhexin_hydroclorid,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bromhexin
ingredient:bromocriptin,Bromocriptin,bromocriptin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bromocriptin
ingredient:brompheniramin,Brompheniramin,brompheniramin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/brompheniramin
ingredient:budesonid,Budesonid,budesonid,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/budesonid
ingredient:bupivacain_hydroclorid,Bupivacain hydroclorid,bupivacain_hydroclorid,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bupivacaine
ingredient:bupropion,Bupropion,bupropion,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/bupropion
ingredient:butamirate,Butamirate,butamirate,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/butamirate
ingredient:butylscopolamin_hyoscin_butylbromid,Butylscopolamin (Hyoscin butylbromid),butylscopolamin_hyoscin_butylbromid,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/butylscopolamin
ingredient:cabergoline,Cabergoline,cabergoline,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cabergoline
ingredient:calci_clorid,Calci Clorid,calci_clorid,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/calci-clorid
ingredient:calcifediol,Calcifediol,calcifediol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/calcifediol
ingredient:calcipotriol,Calcipotriol,calcipotriol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/calcipotriol
