drug_id,name,normalized_name,source
drug:rosiglitazone,Rosiglitazone,rosiglitazone,ddinter
drug:atropine,Atropine,atropine,ddinter
drug:botulinum_toxin_type_a,Botulinum toxin type A,botulinum_toxin_type_a,ddinter
drug:clidinium,Clidinium,clidinium,ddinter
drug:dicyclomine,Dicyclomine,dicyclomine,ddinter
drug:glycopyrronium,Glycopyrronium,glycopyrronium,ddinter
drug:hyoscyamine,Hyoscyamine,hyoscyamine,ddinter
drug:kanamycin,Kanamycin,kanamycin,ddinter
drug:mepenzolate,Mepenzolate,mepenzolate,ddinter
drug:methscopolamine,Methscopolamine,methscopolamine,ddinter
drug:neomycin,Neomycin,neomycin,ddinter
drug:polymyxin_b,Polymyxin B,polymyxin_b,ddinter
drug:propantheline,Propantheline,propantheline,ddinter
drug:scopolamine,Scopolamine,scopolamine,ddinter
drug:streptomycin,Streptomycin,streptomycin,ddinter
drug:trospium,Trospium,trospium,ddinter
drug:paclitaxel,Paclitaxel,paclitaxel,ddinter
drug:ascorbic_acid,Ascorbic acid,ascorbic_acid,ddinter
drug:isotretinoin,Isotretinoin,isotretinoin,ddinter
drug:doxycycline,Doxycycline,doxycycline,ddinter
drug:minocycline,Minocycline,minocycline,ddinter
drug:tetracycline,Tetracycline,tetracycline,ddinter
drug:vitamin_a,Vitamin A,vitamin_a,ddinter
drug:alvimopan,Alvimopan,alvimopan,ddinter
drug:fentanyl,Fentanyl,fentanyl,ddinter
drug:glycerol_phenylbutyrate,Glycerol phenylbutyrate,glycerol_phenylbutyrate,ddinter
drug:lorcaserin,Lorcaserin,lorcaserin,ddinter
drug:mazindol,Mazindol,mazindol,ddinter
drug:morphine,Morphine,morphine,ddinter
drug:morphine_liposomal,Morphine (liposomal),morphine_liposomal,ddinter
drug:nabilone,Nabilone,nabilone,ddinter
drug:naloxone,Naloxone,naloxone,ddinter
drug:opium,Opium,opium,ddinter
drug:phentermine,Phentermine,phentermine,ddinter
drug:acalabrutinib,Acalabrutinib,acalabrutinib,ddinter
drug:nizatidine,Nizatidine,nizatidine,ddinter
drug:ranitidine,Ranitidine,ranitidine,ddinter
drug:ranitidine_bismuth_citrate,Ranitidine (bismuth citrate),ranitidine_bismuth_citrate,ddinter
drug:acarbose,Acarbose,acarbose,ddinter
drug:acetazolamide,Acetazolamide,acetazolamide,ddinter
drug:albiglutide,Albiglutide,albiglutide,ddinter
drug:salbutamol,Salbutamol,salbutamol,ddinter
drug:alclometasone_topical,Alclometasone (topical),alclometasone_topical,ddinter
drug:aloe_vera_leaf,Aloe Vera Leaf,aloe_vera_leaf,ddinter
drug:alpelisib,Alpelisib,alpelisib,ddinter
drug:lipoic_acid,Lipoic acid,lipoic_acid,ddinter
drug:amcinonide,Amcinonide,amcinonide,ddinter
drug:amprenavir,Amprenavir,amprenavir,ddinter
drug:anisindione,Anisindione,anisindione,ddinter
drug:aripiprazole,Aripiprazole,aripiprazole,ddinter
drug:asenapine,Asenapine,asenapine,ddinter
drug:asparaginase_erwinia_chrysanthemi,Asparaginase Erwinia chrysanthemi,asparaginase_erwinia_chrysanthemi,ddinter
drug:asparaginase_escherichia_coli,Asparaginase Escherichia coli,asparaginase_escherichia_coli,ddinter
drug:atazanavir,Atazanavir,atazanavir,ddinter
